runKey,partyId,agent,seedIndex,axis,startTrue,endTrue,startPerceived,endPerceived,deltaTrue,deltaPerceived
lfi:aleatoire:31,lfi,aleatoire,31,authority,-54,-55.26,-54,-57.6,-1.259999999999998,-3.6000000000000014
lfi:aleatoire:31,lfi,aleatoire,31,immigration,-38,-36.495,-38,-33.7,1.5050000000000026,4.299999999999997
lfi:aleatoire:32,lfi,aleatoire,32,economy,-78,-69.581807,-78,-53.94801999999999,8.418193000000002,24.051980000000007
lfi:aleatoire:32,lfi,aleatoire,32,society,-58,-57.195,-58,-55.7,0.8049999999999997,2.299999999999997
lfi:aleatoire:32,lfi,aleatoire,32,europe,-48,-51.395,-48,-57.7,-3.395000000000003,-9.700000000000003
lfi:aleatoire:32,lfi,aleatoire,32,ecology,66,60.456,66,50.16,-5.543999999999997,-15.840000000000003
lfi:aleatoire:32,lfi,aleatoire,32,authority,-54,-54,-54,-54,0,0
lfi:aleatoire:32,lfi,aleatoire,32,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:33,lfi,aleatoire,33,economy,-78,-74.19794999999999,-78,-67.137,3.8020500000000084,10.863
lfi:aleatoire:33,lfi,aleatoire,33,society,-58,-58,-58,-58,0,0
lfi:aleatoire:33,lfi,aleatoire,33,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:33,lfi,aleatoire,33,ecology,66,66,66,66,0,0
lfi:aleatoire:33,lfi,aleatoire,33,authority,-54,-56.135,-54,-60.1,-2.134999999999998,-6.100000000000001
lfi:aleatoire:33,lfi,aleatoire,33,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:34,lfi,aleatoire,34,economy,-78,-75.629555,-78,-71.2273,2.3704450000000037,6.7727
lfi:aleatoire:34,lfi,aleatoire,34,society,-58,-58,-58,-58,0,0
lfi:aleatoire:34,lfi,aleatoire,34,europe,-48,-51.8255,-48,-58.93,-3.825499999999998,-10.93
lfi:aleatoire:34,lfi,aleatoire,34,ecology,66,66,66,66,0,0
lfi:aleatoire:34,lfi,aleatoire,34,authority,-54,-52.159,-54,-48.74,1.841000000000001,5.259999999999998
lfi:aleatoire:34,lfi,aleatoire,34,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:35,lfi,aleatoire,35,economy,-78,-63.75155250000001,-78,-37.29015,14.24844749999999,40.70985
lfi:aleatoire:35,lfi,aleatoire,35,society,-58,-58,-58,-58,0,0
lfi:aleatoire:35,lfi,aleatoire,35,europe,-48,-45.9805,-48,-42.230000000000004,2.0195000000000007,5.769999999999996
lfi:aleatoire:35,lfi,aleatoire,35,ecology,66,63.865,66,59.9,-2.134999999999998,-6.100000000000001
lfi:aleatoire:35,lfi,aleatoire,35,authority,-54,-54.80499999999999,-54,-56.3,-0.8049999999999926,-2.299999999999997
lfi:aleatoire:35,lfi,aleatoire,35,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:36,lfi,aleatoire,36,economy,-78,-70.44763630000001,-78,-56.421818,7.552363699999987,21.578181999999998
lfi:aleatoire:36,lfi,aleatoire,36,society,-58,-58,-58,-58,0,0
lfi:aleatoire:36,lfi,aleatoire,36,europe,-48,-53.4005,-48,-63.43,-5.400500000000001,-15.43
lfi:aleatoire:36,lfi,aleatoire,36,ecology,66,63.865,66,59.9,-2.134999999999998,-6.100000000000001
lfi:aleatoire:36,lfi,aleatoire,36,authority,-54,-48.96,-54,-39.6,5.039999999999999,14.399999999999999
lfi:aleatoire:36,lfi,aleatoire,36,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:37,lfi,aleatoire,37,economy,-78,-72.02527949999998,-78,-60.92937,5.974720500000018,17.07063
lfi:aleatoire:37,lfi,aleatoire,37,society,-58,-58,-58,-58,0,0
lfi:aleatoire:37,lfi,aleatoire,37,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:37,lfi,aleatoire,37,ecology,66,66,66,66,0,0
lfi:aleatoire:37,lfi,aleatoire,37,authority,-54,-51.207350000000005,-54,-46.021,2.7926499999999947,7.978999999999999
lfi:aleatoire:37,lfi,aleatoire,37,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:38,lfi,aleatoire,38,economy,-78,-62.05948999499999,-78,-32.4556857,15.940510005000007,45.5443143
