eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
program_wages,wages_raise_minimum,POPULAIRE,421,78.14,0.746,0.615
campaign_market_walkabout,market_rent_mediation,RASSEMBLEUR,383,64.08,0.486,0.337
debate_free_conclusion,free_conclusion_contract,PRÉSIDENTIEL,334,84.54,0.859,0.728
world_european_vote,european_vote_bridge,RASSEMBLEUR,110,83.27,0.836,0.8
media_open_microphone,open_mic_apology,LOYAL,756,84.13,0.854,0.739
debate_unknown_question,unknown_question_admit,TRANSPARENT,607,79.21,0.758,0.613
rare_exceptional_powers,exceptional_powers_trust,PRÉSIDENTIEL,33,77.18,0.727,0.606
campaign_official_launch,launch_institutional_break,CLIVANT,216,68.21,0.537,0.403
program_immigration,immigration_european_pact,RASSEMBLEUR,56,82.09,0.839,0.661
campaign_regional_rally,regional_strasbourg_europe,PRÉSIDENTIEL,126,76.27,0.722,0.587
rare_debate_blackout,blackout_rehearse,RISQUÉ,41,78.78,0.732,0.659
media_open_microphone,open_mic_blame_context,CLIVANT,537,70.4,0.594,0.464
government_ministry_conflict,ministry_conflict_third,OFFENSIF,467,87.9,0.964,0.951
program_digital_rights,digital_rights_moderation_only,PRUDENT,514,82.5,0.829,0.722
scandal_treasurer_invoices,treasurer_invoices_publish,TRANSPARENT,272,86.64,0.886,0.772
debate_challenge_frontrunner,challenge_frontrunner_single_topic,TECHNIQUE,47,79.53,0.745,0.574
internal_staff_fatigue,staff_fatigue_cancel,PRUDENT,321,81.44,0.798,0.642
internal_youth_wing,youth_wing_integrate,LOYAL,18,85.56,1,0.778
campaign_calendar_conflict,calendar_choose_mayors,LOYAL,581,82.66,0.809,0.704
campaign_weather_disaster,weather_cancel_help,RASSEMBLEUR,495,79.48,0.745,0.61
campaign_defend_unfairly_attacked_rival,defend_rival_amplify_doubt,OPPORTUNISTE,482,69.95,0.579,0.425
internal_spokesperson_mistake,spokesperson_adopt,OPPORTUNISTE,253,65.14,0.466,0.36
internal_headquarters_move,headquarters_keep,PRUDENT,194,59.83,0.361,0.273
world_industrial_closure,closure_public_stake,CLIVANT,85,81.44,0.906,0.671
scandal_consultant_contract,consultant_contract_waive,TRANSPARENT,286,85.73,0.846,0.748
campaign_weather_disaster,weather_remote_climate,TECHNIQUE,271,79.26,0.738,0.646
campaign_rally_security,security_smaller_room,INSTITUTIONNEL,180,88.13,0.922,0.817
rare_printer_slogan,printer_slogan_keep,RISQUÉ,100,70.48,0.6,0.47
world_international_crisis,international_european_statement,PRÉSIDENTIEL,489,79.33,0.738,0.648
government_ministry_conflict,ministry_conflict_competence,INSTITUTIONNEL,472,89.33,0.981,0.968
program_integration_contract,integration_contract_nationality_link,CLIVANT,327,68.24,0.526,0.404
program_climate_adaptation,climate_adaptation_fund,INSTITUTIONNEL,541,78.98,0.75,0.632
world_rival_leadership_tension,rival_leadership_tension_amplify,OFFENSIF,472,76.91,0.729,0.585
scandal_plagiarized_report,plagiarized_report_correct,TRANSPARENT,527,86.04,0.892,0.769
campaign_budget_arbitration,budget_emergency_fundraising,RISQUÉ,262,71.04,0.607,0.473
world_national_strike,strike_mediation,INSTITUTIONNEL,204,87.16,0.961,0.824
