pairId,withdrawnPartyId,partnerId,withdrawScore,maintainScore,scoreDelta,withdrawQualified,maintainQualified,qualificationChanged,withdrawWon,maintainWon,victoryChanged,finalistsChanged
cfA-ps-opportuniste_electoral-325,reconquete,rn,99,97,2,true,true,false,true,true,false,true
cfA-renaissance-opportuniste_electoral-327,ecologistes,ps,84,87,-3,true,true,false,false,true,true,true
cfA-rn-opportuniste_electoral-330,ecologistes,ps,81,89,-8,true,true,false,false,true,true,false
cfA-lfi-parti_dabord-333,reconquete,rn,93,83,10,true,true,false,true,true,false,true
cfA-ecologistes-parti_dabord-335,reconquete,rn,91,93,-2,true,true,false,true,true,false,true
cfA-renaissance-parti_dabord-336,reconquete,rn,79,86,-7,true,true,false,true,true,false,false
cfA-nouvelle_energie-parti_dabord-341,reconquete,rn,95,89,6,true,true,false,true,true,false,false
cfA-ecologistes-mediatique-344,reconquete,rn,83,96,-13,true,true,false,false,true,true,true
cfA-renaissance-mediatique-345,reconquete,rn,74,71,3,true,true,false,false,false,false,false
cfA-nouvelle_energie-mediatique-350,reconquete,rn,57,85,-28,false,true,true,false,true,true,true
cfA-lfi-aleatoire-360,reconquete,rn,58,49,9,false,false,false,false,false,false,true
cfA-ecologistes-aleatoire-362,reconquete,rn,53,97,-44,false,true,true,false,true,true,true
cfA-ps-prudent-370,reconquete,rn,97,97,0,true,true,false,true,true,false,true
cfA-lr-prudent-374,reconquete,rn,93,87,6,true,true,false,true,true,false,true
cfA-lfi-risque-378,reconquete,rn,97,97,0,true,true,false,true,true,false,true
cfA-ps-risque-379,reconquete,rn,100,99,1,true,true,false,true,true,false,true
cfA-lr-risque-383,reconquete,rn,91,93,-2,true,true,false,true,true,false,false
cfA-nouvelle_energie-risque-386,reconquete,rn,97,98,-1,true,true,false,true,true,false,true
cfA-lfi-ideologiquement_coherent-387,reconquete,rn,94,88,6,true,true,false,true,false,true,true
cfA-ecologistes-ideologiquement_coherent-389,reconquete,rn,95,93,2,true,true,false,true,true,false,true
cfA-nouvelle_energie-ideologiquement_coherent-395,reconquete,rn,95,94,1,true,true,false,true,true,false,true
cfA-ps-opportuniste_electoral-397,reconquete,rn,73,88,-15,true,true,false,false,true,true,true
cfA-ecologistes-opportuniste_electoral-398,reconquete,rn,54,63,-9,false,false,false,false,false,false,true
cfA-nouvelle_energie-opportuniste_electoral-404,reconquete,rn,59,84,-25,false,true,true,false,true,true,true
cfA-ps-parti_dabord-406,reconquete,rn,95,98,-3,true,true,false,true,true,false,true
cfA-ecologistes-parti_dabord-407,reconquete,rn,86,86,0,true,true,false,true,true,false,false
cfA-renaissance-parti_dabord-408,reconquete,rn,92,71,21,true,true,false,true,false,true,true
cfA-lr-parti_dabord-410,reconquete,rn,73,91,-18,true,true,false,false,true,true,false
cfA-nouvelle_energie-parti_dabord-413,ecologistes,ps,94,90,4,true,true,false,true,true,false,true
cfA-ps-mediatique-415,ecologistes,lfi,90,94,-4,true,true,false,true,true,false,false
cfA-renaissance-mediatique-417,reconquete,rn,61,79,-18,false,true,true,false,false,false,true
cfA-lr-mediatique-419,reconquete,rn,56,57,-1,false,false,false,false,false,false,true
cfA-horizons-aleatoire-436,ecologistes,ps,85,79,6,true,true,false,true,true,false,false
cfA-nouvelle_energie-aleatoire-440,reconquete,rn,97,84,13,true,true,false,true,false,true,false
cfA-lfi-prudent-441,reconquete,rn,89,94,-5,true,true,false,true,true,false,false
cfA-lr-prudent-446,reconquete,rn,77,90,-13,true,true,false,false,true,true,true
cfA-horizons-risque-454,ecologistes,ps,87,89,-2,true,true,false,true,true,false,false
cfA-lr-risque-455,reconquete,rn,90,73,17,true,true,false,true,false,true,false
cfA-lfi-ideologiquement_coherent-459,reconquete,rn,96,94,2,true,true,false,true,true,false,false
cfA-ps-ideologiquement_coherent-460,reconquete,rn,100,91,9,true,true,false,true,false,true,false
cfA-lr-ideologiquement_coherent-464,reconquete,rn,97,95,2,true,true,false,true,true,false,true
cfA-nouvelle_energie-ideologiquement_coherent-467,reconquete,rn,97,98,-1,true,true,false,true,true,false,false
cfA-ps-opportuniste_electoral-469,reconquete,rn,71,78,-7,true,true,false,false,false,false,false
cfA-lr-opportuniste_electoral-473,ecologistes,ps,57,48,9,false,false,false,false,false,false,false
cfA-renaissance-parti_dabord-480,reconquete,rn,84,89,-5,true,true,false,true,true,false,false
cfA-lr-parti_dabord-482,reconquete,rn,82,94,-12,true,true,false,false,true,true,true
cfA-renaissance-mediatique-489,reconquete,rn,83,66,17,true,true,false,true,false,true,true
cfA-nouvelle_energie-contrarien-503,reconquete,rn,82,68,14,true,false,true,true,false,true,true
cfA-lfi-aleatoire-504,reconquete,rn,79,47,32,true,false,true,true,false,true,true
cfA-ps-aleatoire-505,reconquete,rn,96,88,8,true,true,false,true,true,false,true
cfA-renaissance-aleatoire-507,reconquete,rn,70,73,-3,true,true,false,false,false,false,false
cfA-lr-prudent-518,reconquete,rn,94,87,7,true,true,false,true,true,false,true
cfA-lfi-risque-522,reconquete,rn,88,91,-3,true,true,false,true,true,false,true
cfA-ps-risque-523,reconquete,rn,96,78,18,true,true,false,true,false,true,false
cfA-renaissance-ideologiquement_coherent-534,reconquete,rn,74,77,-3,true,true,false,false,false,false,false
cfA-lr-ideologiquement_coherent-536,reconquete,rn,89,97,-8,true,true,false,true,true,false,false
cfA-nouvelle_energie-ideologiquement_coherent-539,reconquete,rn,93,97,-4,true,true,false,true,true,false,true
cfA-renaissance-opportuniste_electoral-543,ecologistes,ps,95,79,16,true,true,false,true,false,true,true
cfA-rn-opportuniste_electoral-546,ecologistes,ps,87,82,5,true,true,false,true,false,true,true
cfA-lfi-parti_dabord-549,reconquete,rn,78,88,-10,true,true,false,true,true,false,false
cfA-renaissance-parti_dabord-552,reconquete,rn,81,88,-7,true,true,false,true,true,false,false
cfA-ps-mediatique-559,reconquete,rn,88,93,-5,true,true,false,true,true,false,true
cfA-ecologistes-mediatique-560,reconquete,rn,93,91,2,true,true,false,true,true,false,true
cfA-renaissance-mediatique-561,reconquete,rn,80,52,28,true,false,true,true,false,true,true
cfA-lr-mediatique-563,reconquete,rn,81,64,17,true,true,false,false,false,false,false
