partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,aleatoire,19,nouvelle_energie,9.4,0.43806970766091713,0.4803823008737624,0.5196176991262376
lfi,prudent,0,ps,11.2,0.3324739443223102,0.3575340924151883,0.6424659075848117
lfi,prudent,0,ecologistes,11.8,0.3995902531368023,0.3379269056594859,0.6620730943405141
lfi,prudent,0,renaissance,13.3,0.46,0.43631480668159534,0.5636851933184046
lfi,prudent,0,horizons,8.7,0.46,0.46146764243099675,0.5385323575690033
lfi,prudent,0,lr,10.4,0.39147265660237984,0.5129154949444412,0.4870845050555588
lfi,prudent,0,reconquete,3.1,0.2617280715344861,0.6222844365015863,0.37771556349841373
lfi,prudent,0,nouvelle_energie,13.2,0.4270697076609171,0.5004148792151705,0.49958512078482953
lfi,prudent,1,ecologistes,10.6,0.3084538120233696,0.5018853701397469,0.4981146298602531
lfi,prudent,1,renaissance,11.4,0.39309544619197767,0.5046569237183333,0.49534307628166674
lfi,prudent,1,horizons,12.3,0.4252625158141757,0.4945961049784184,0.5054038950215816
lfi,prudent,1,lr,8.2,0.46,0.48221592985987316,0.5177840701401268
lfi,prudent,1,rn,12.8,0.46,0.4595236115120524,0.5404763884879475
lfi,prudent,1,reconquete,7.3,0.46,0.45517824801639634,0.5448217519836036
lfi,prudent,1,nouvelle_energie,11.2,0.46,0.4833461370264027,0.5166538629735973
lfi,prudent,2,lfi,12.6,0.46,0.5561751706985762,0.44382482930142375
lfi,prudent,2,ps,11.9,0.38509544619197766,0.5558445572007269,0.4441554427992731
lfi,prudent,2,ecologistes,7.2,0.4455398358465896,0.5768417526073601,0.42315824739263985
lfi,prudent,2,horizons,10.3,0.17449699216606837,0.5988117313448177,0.4011882686551823
lfi,prudent,2,rn,10.8,0.3699726566023799,0.4615689929635792,0.5384310070364208
lfi,prudent,2,reconquete,10.1,0.31344454299903596,0.38951951529957496,0.610480484700425
lfi,prudent,2,nouvelle_energie,10,0.1974826733953962,0.4273324237065679,0.5726675762934321
lfi,prudent,3,ps,10.7,0.3070831225395049,0.5759307282015518,0.4240692717984482
lfi,prudent,3,ecologistes,10.5,0.3859384279669029,0.5381990544774621,0.4618009455225379
lfi,prudent,3,horizons,10.2,0.21159699216606837,0.40659087892729745,0.5934091210727026
lfi,prudent,3,lr,9.6,0.37642910161038934,0.4728038783733028,0.5271961216266972
lfi,prudent,3,rn,11.6,0.46,0.5172149956881914,0.4827850043118086
lfi,prudent,3,reconquete,8.5,0.46,0.5047037645209942,0.4952962354790058
lfi,prudent,3,nouvelle_energie,9.5,0.359994532788215,0.46852086504763685,0.5314791349523631
lfi,prudent,4,ps,9.8,0.37250094786117316,0.3772696383193791,0.6227303616806209
lfi,prudent,4,ecologistes,11.3,0.3504409963009332,0.28658409790374006,0.7134159020962599
lfi,prudent,4,renaissance,8.4,0.46,0.44280686085208026,0.5571931391479197
lfi,prudent,4,horizons,13.7,0.46,0.46497790372120174,0.5350220962787983
lfi,prudent,4,lr,8.2,0.34847265660237986,0.5784584697833927,0.42154153021660734
lfi,prudent,4,reconquete,9.4,0.3187280715344861,0.5737918556059834,0.42620814439401655
lfi,prudent,4,nouvelle_energie,10.9,0.4340697076609171,0.5050390202920376,0.4949609797079624
lfi,prudent,5,ps,12.5,0.292995477593831,0.4090218365043107,0.5909781634956893
lfi,prudent,5,ecologistes,8.9,0.37260397673380485,0.44094367820018016,0.5590563217998199
lfi,prudent,5,renaissance,8.9,0.24599699216606838,0.5546978716748227,0.44530212832517735
lfi,prudent,5,lr,12.8,0.30286970355619813,0.5570384526644215,0.44296154733557846
lfi,prudent,5,rn,10.8,0.437666785515875,0.5092319601924531,0.4907680398075469
lfi,prudent,5,reconquete,8.2,0.45270053285801404,0.5282986643245758,0.47170133567542416
lfi,prudent,5,nouvelle_energie,9.9,0.23668775604841746,0.6132240394088377,0.38677596059116226
lfi,prudent,6,ecologistes,8.3,0.2232538120233696,0.4186209690229898,0.5813790309770102
lfi,prudent,6,renaissance,12,0.3978954461919777,0.48097486277128093,0.5190251372287191
lfi,prudent,6,horizons,12.9,0.4300625158141757,0.49143315174935104,0.5085668482506489
lfi,prudent,6,lr,8.6,0.46,0.4999520736731077,0.5000479263268923
lfi,prudent,6,rn,11.9,0.46,0.5198975392417124,0.48010246075828755
lfi,prudent,6,reconquete,4.1,0.46,0.5215078103904242,0.47849218960957585
